PK,Product,Quantity,yymm
1036,B1003,0,202010
1037,B1004,0,202010
1038,B1005,16,202010
1039,B1006,0,202010
1040,B1007,312,202010
1041,B1008,0,202010
1042,B1009,0,202010
1043,B1010,0,202010
1044,B1011,0,202010
1045,B1012,170,202010
1046,B1013,0,202010
1047,B1014,1764,202010
1048,B1015,0,202010
1049,B1016,0,202010
1050,B1017,0,202010
1051,B1018,709,202010
1052,B1019,0,202010
1053,B1020,0,202010
1054,B1021,0,202010
1055,B1022,0,202010
1056,B1023,0,202010
1057,B1024,0,202010
1058,B1025,0,202010
1059,B1026,0,202010
1060,B1027,0,202010
1061,B1028,0,202010
1062,B1029,0,202010
1063,B1030,0,202010
1064,B1031,0,202010
1065,B1032,0,202010
1066,B1033,1193,202010
1067,B1034,0,202010
1068,B1035,0,202010
1069,B1036,0,202010
1070,B1037,0,202010
1071,B1038,0,202010
1072,B1039,0,202010
1073,B1040,0,202010
1074,B1041,0,202010
1075,B1042,0,202010
1076,B1043,0,202010
1077,B1044,0,202010
1078,B1045,0,202010
1079,B1046,0,202010
1080,B1047,0,202010
1081,B1048,0,202010
1082,B1049,0,202010
1083,B1050,0,202010
1084,B1051,0,202010
1085,B1052,0,202010
1086,B1053,0,202010
1087,B1054,0,202010
1088,B1055,0,202010
1089,B1056,0,202010
1090,B3,0,202011
1091,B4,0,202011
1092,B5,0,202011
1093,B6,0,202011
1094,B7,0,202011
1095,B8,0,202011
1096,B9,0,202011
1097,B10,0,202011
1098,B11,0,202011
1099,B12,0,202011
1100,B13,0,202011
1101,B14,0,202011
1102,B15,0,202011
1103,B16,0,202011
1104,B17,0,202011
1105,B18,0,202011
1106,B19,0,202011
1107,B20,0,202011
1108,B25,0,202011
1109,B27,0,202011
1110,B30,0,202011
1111,B54,66,202011
1112,B60,78,202011
1113,B63,192,202011
1114,B64,188,202011
1115,B65,34,202011
1116,B66,28,202011
1117,B67,0,202011
1118,B69,24,202011
1119,B70,130,202011
1120,B71,38,202011
1121,B72,18,202011
1122,B73,46,202011
1123,B74,0,202011
1124,B75,13,202011
1125,B76,0,202011
1126,B77,295,202011
1127,B78,0,202011
1128,B81,0,202011
1129,B83,0,202011
1130,B85,139,202011
1131,B86,0,202011
1132,B88,0,202011
1133,B89,0,202011
1134,B90,0,202011
1135,B91,0,202011
1136,B92,0,202011
1137,B93,0,202011
1138,B94,204,202011
1139,B95,0,202011
1140,B96,0,202011
1141,B97,12,202011
1142,B98,676,202011
1143,B99,886,202011
1144,B100,0,202011
1145,B101,0,202011
1146,B102,0,202011
1147,B103,121,202011
1148,B104,0,202011
1149,B105,0,202011
1150,B106,13,202011
1151,B107,0,202011
1152,B108,0,202011
1153,B113,0,202011
1154,B114,171,202011
1155,B115,0,202011
1156,B116,0,202011
1157,B117,0,202011
1158,B118,0,202011
1159,B119,48,202011
1160,B120,0,202011
1161,B121,0,202011
1162,B122,0,202011
1163,B123,0,202011
1164,B124,0,202011
1165,B125,0,202011
1166,B126,0,202011
1167,B127,0,202011
1168,B128,0,202011
1169,B129,0,202011
1170,B130,0,202011
1171,B131,0,202011
1172,B132,0,202011
1173,B133,0,202011
1174,B134,0,202011
1175,B135,0,202011
1176,B136,0,202011
1177,B137,97,202011
1178,B138,0,202011
1179,B139,824,202011
1180,B140,0,202011
1181,B141,764,202011
1182,B142,380,202011
1183,B143,98,202011
1184,B146,0,202011
1185,B147,18,202011
1186,B152,275,202011
1187,B153,99,202011
1188,B154,0,202011
1189,B155,0,202011
1190,B156,70,202011
1191,B157,0,202011
1192,B158,131,202011
1193,B159,255,202011
1194,B160,0,202011
1195,B161,0,202011
1196,B162,0,202011
1197,B163,0,202011
1198,B164,0,202011
1199,B165,0,202011
1200,B166,0,202011
1201,B167,0,202011
1202,B168,262,202011
1203,B169,0,202011
1204,B170,0,202011
1205,B171,0,202011
1206,B172,0,202011
1207,B173,0,202011
1208,B174,0,202011
1209,B175,0,202011
1210,B176,0,202011
1211,B177,0,202011
1212,B178,70,202011
1213,B179,0,202011
1214,B180,201,202011
1215,B182,0,202011
1216,B185,56,202011
1217,B186,7,202011
1218,B188,123,202011
1219,B189,0,202011
1220,B190,106,202011
1221,B195,115,202011
1222,B198,50,202011
1223,B199,19,202011
1224,B208,844,202011
1225,B225,265,202011
1226,B254,83,202011
1227,B256,25,202011
1228,B266,72,202011
1229,B267,42,202011
1230,B275,93,202011
1231,B283,0,202011
1232,B288,0,202011
1233,B296,301,202011
1234,B388,98,202011
1235,B390,69,202011
1236,B432,18,202011
1237,B453,0,202011
1238,B462,181,202011
1239,B469,4,202011
1240,B471,231,202011
1241,B478,134,202011
1242,B479,111,202011
1243,B488,0,202011
1244,B490,0,202011
1245,B626,243,202011
1246,B627,30,202011
1247,B694,359,202011
1248,B716,153,202011
1249,B717,0,202011
1250,B725,0,202011
1251,B729,309,202011
1252,B739,0,202011
1253,B740,0,202011
1254,B741,0,202011
1255,B742,0,202011
1256,B743,0,202011
1257,B744,0,202011
1258,B745,146,202011
1259,B746,0,202011
1260,B749,0,202011
1261,B750,13,202011
1262,B752,18,202011
1263,B753,32,202011
1264,B765,0,202011
1265,B766,17,202011
1266,B777,280,202011
1267,B778,0,202011
1268,B779,0,202011
1269,B780,0,202011
1270,B781,0,202011
1271,B782,0,202011
1272,B783,0,202011
1273,B784,0,202011
1274,B785,355,202011
1275,B786,0,202011
1276,B787,0,202011
1277,B788,5334,202011
1278,B789,0,202011
1279,B790,0,202011
1280,B791,0,202011
1281,B792,0,202011
1282,B793,0,202011
1283,B794,0,202011
1284,B795,77,202011
1285,B796,0,202011
1286,B797,0,202011
1287,B798,0,202011
1288,B799,0,202011
1289,B800,0,202011
1290,B801,0,202011
